School,Avail,Apply,Ballot,Note
Tampines North Primary School,100,48,,
Tampines Primary School,5,19,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Tanjong Katong Primary School,0,,,
Tao Nan School,0,,,
Teck Ghee Primary School,26,26,,
Teck Whye Primary School,145,43,,
Telok Kurau Primary School,12,28,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Temasek Primary School,0,,,
Townsville Primary School,105,21,,
Unity Primary School,72,9,,
Valour Primary School,0,,,
Waterway Primary School,0,,,
Wellington Primary School,0,,,
West Grove Primary School,48,58,N,This school only has places for Singapore Citizen children. No balloting will be conducted.
West Spring Primary School,0,,,
West View Primary School,49,26,,
Westwood Primary School,0,,,
White Sands Primary School,0,,,
Woodgrove Primary School,0,,,
Woodlands Primary School,0,,,
Woodlands Ring Primary School,75,36,,
Xinghua Primary School,197,39,,
Xingnan Primary School,123,33,,
Xinmin Primary School,0,,,
Xishan Primary School,51,76,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
Yangzheng Primary School,0,,,
Yew Tee Primary School,78,32,,
Yio Chu Kang Primary School,105,93,,
Yishun Primary School,58,58,,
Yu Neng Primary School,0,,,
Yuhua Primary School,121,39,,
Yumin Primary School,89,41,,
Zhangde Primary School,1,8,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Zhenghua Primary School,23,25,Y,Balloting will be conducted for Singapore Citizen children residing outside 2km of the school.
Zhonghua Primary School,108,30,,
